combo,workload,policy,per_gpu_rate,ttft_s_p90,tpot_s_p90,context_queue_s_median,bridge_queue_s_median,decode_queue_s_median,context_exec_s_median,decode_exec_s_median,phase_decode_handoff_debt_pressure_mean,phase_decode_rho_hard_mean,phase_decode_infeasible_rounds,phase_context_prefill_budget_ratio_mean,phase_decode_kas_intensity_mean
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,0.5,0.2078378954902291,0.034567118202033245,0.00198781490325925,0.014290988445281951,0.0012828707695007,0.07457464933395384,3.657449185848236,0.010734333130997899,0.0,0.0,0.9893903657207339,0.05835260843469565
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,0.75,0.2097029959782957,0.15284256522555376,0.00183713436126705,0.3252838850021362,0.0013967752456665,0.06827628612518305,3.718003213405609,0.2258713864044153,0.0191510984244514,5.0,0.947411079919802,0.42919123962558103
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,1.0,1.078612679988146,0.6453895320564588,0.0027987957000731502,4.35444849729538,0.00144159793853755,0.06844240427017209,3.7061063647270203,0.47787282427883493,0.06274126908020825,1.5,0.9956098364285855,0.4797989688819658
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,1.25,12.306059155333786,0.8771359785654599,0.2190999388694763,7.9347163438797,0.0014346837997435999,0.07499283552169794,3.814297139644623,0.5463095920762738,0.16852184487856026,86.0,0.8752446207629574,0.7292301285399034
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,1.5,19.357607003673905,0.949615618684212,0.14379423856735227,9.372481286525726,0.0014259219169616,0.07863223552703855,3.697817385196686,0.5775968192706946,0.16041397153945666,0.0,0.8747043875514837,0.747918451711751
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,1.75,25.294156322721392,0.989722616137511,1.1061740517616272,10.100975215435028,0.0014237165451049501,0.08872842788696286,3.7195350527763367,0.592327818932894,0.16041397153945666,0.0,0.8751030275062961,0.7466335572003219
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,2.0,26.962720054294913,1.0985696247415508,1.8475152254104614,11.258415043354034,0.0014201998710632,0.09046989679336545,3.720903694629669,0.6078184801817723,0.1604139715394566,0.0,0.8750978973332084,0.7496367578683835
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,2.25,32.87437011385337,1.181968166144893,2.873019278049469,9.964899063110352,0.00142079591751095,0.0877715349197387,3.718918740749359,0.6504564651841293,0.2609965408995011,213.5,0.8751058623342546,0.9056127076087906
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,2.5,38.748307657148686,1.3759573754855072,4.873575985431671,11.231765806674957,0.00138878822326655,0.0824232697486877,3.731391668319702,0.6417055178511384,0.30789133247089256,0.0,0.7513523403258098,1.0
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,2.75,42.55745602296665,1.3637695091785678,5.168117702007294,12.174044609069824,0.00138759613037105,0.08919459581375119,3.7202345728874207,0.6471622243708246,0.30789133247089256,0.0,0.7512694055749868,1.0
